epoch,loss,mse,val_loss,val_mse
0,0.413394033908844,0.413394033908844,0.012000560760498047,0.012000560760498047
1,0.008517456240952015,0.008517456240952015,0.006955352146178484,0.006955352146178484
2,0.005820436403155327,0.005820436403155327,0.005152394995093346,0.005152394995093346
3,0.004436166025698185,0.004436166025698185,0.004239555913954973,0.004239555913954973
4,0.0035368872340768576,0.0035368872340768576,0.003503289306536317,0.0035032890737056732
5,0.002933993935585022,0.0029339937027543783,0.002961590886116028,0.002961590886116028
6,0.0024872291833162308,0.002487228950485587,0.0026269196532666683,0.0026269196532666683
7,0.0021657641045749187,0.0021657641045749187,0.0023297080770134926,0.0023297080770134926
8,0.0019487967947497964,0.0019487967947497964,0.002046762267127633,0.002046762267127633
9,0.0017279050080105662,0.0017279050080105662,0.0018462894950062037,0.0018462894950062037
10,0.0015336329815909266,0.0015336329815909266,0.0017131499480456114,0.0017131499480456114
11,0.0013736555119976401,0.0013736555119976401,0.001541916630230844,0.001541916630230844
12,0.0012602937640622258,0.0012602937640622258,0.0014833944151178002,0.0014833944151178002
13,0.0011559156700968742,0.0011559156700968742,0.0013569026486948133,0.0013569026486948133
14,0.0011002982500940561,0.001100298366509378,0.001226338092237711,0.0012263379758223891
15,0.001015420537441969,0.001015420421026647,0.0011617790441960096,0.0011617790441960096
16,0.0009332623449154198,0.0009332623449154198,0.0011365563841536641,0.0011365562677383423
17,0.0008487945306114852,0.0008487945306114852,0.0010778921423479915,0.0010778921423479915
18,0.0007865993538871408,0.0007865993538871408,0.0010246677557006478,0.0010246677557006478
19,0.0007217802340164781,0.0007217803504317999,0.0009392932406626642,0.0009392932406626642
20,0.0007162187248468399,0.0007162187830545008,0.0008925344445742667,0.0008925345027819276
21,0.0006765520083718002,0.0006765520083718002,0.0008107947069220245,0.0008107947069220245
22,0.0006024594185873866,0.0006024594185873866,0.0006453723763115704,0.0006453723763115704
23,0.0005700389738194644,0.0005700389738194644,0.0006742117693647742,0.0006742117693647742
24,0.0006321290275081992,0.0006321290275081992,0.0006334016215987504,0.0006334016798064113
25,0.0005280356854200363,0.0005280356854200363,0.0005508093163371086,0.0005508093163371086
26,0.0004707479092758149,0.0004707479092758149,0.0004952013259753585,0.0004952012677676976
27,0.00045564540778286755,0.00045564534957520664,0.0004659790138248354,0.0004659790138248354
28,0.0004388194065541029,0.0004388194065541029,0.0005141852307133377,0.0005141852307133377
29,0.000504669442307204,0.000504669442307204,0.0006098682642914355,0.0006098682642914355
30,0.0004877589817624539,0.0004877589817624539,0.0004845250805374235,0.00048452505143359303
31,0.00042522692820057273,0.00042522692820057273,0.00042391271563246846,0.00042391271563246846
32,0.00038982718251645565,0.0003898272116202861,0.0003912732645403594,0.0003912732645403594
33,0.0003646466648206115,0.0003646466648206115,0.0003896944981534034,0.00038969441084191203
34,0.00034120804048143327,0.00034120804048143327,0.00042590757948346436,0.00042590757948346436
35,0.00036676687886938453,0.00036676687886938453,0.0003692801983561367,0.0003692801983561367
36,0.00035540189128369093,0.00035540189128369093,0.00034871368552558124,0.0003487137146294117
37,0.0003327419690322131,0.0003327419690322131,0.00035258199204690754,0.00035258199204690754
38,0.00033055045059882104,0.0003305504797026515,0.00032012152951210737,0.0003201215004082769
39,0.00033851535408757627,0.0003385153831914067,0.0004014692676719278,0.0004014692676719278
40,0.000300988758681342,0.00030098878778517246,0.0003324795397929847,0.0003324795397929847
41,0.00028318617842160165,0.0002831862075254321,0.00036808574805036187,0.00036808574805036187
42,0.00033275855821557343,0.00033275855821557343,0.00039954399107955396,0.00039954399107955396
43,0.0002514394873287529,0.0002514394873287529,0.00031142719672061503,0.00031142719672061503
44,0.00023331347620114684,0.00023331344709731638,0.0002348328271182254,0.00023483281256631017
45,0.00022416861611418426,0.00022416865976992995,0.0002520893467590213,0.0002520893467590213
46,0.00022730286582373083,0.00022730286582373083,0.00028384182951413095,0.00028384182951413095
47,0.00019939566846005619,0.00019939566846005619,0.0002259211178170517,0.0002259211178170517
48,0.00022969157726038247,0.00022969157726038247,0.00033079634886235,0.00033079634886235
49,0.00022982561495155096,0.0002298256295034662,0.000274562684353441,0.000274562684353441
50,0.00021080506849102676,0.00021080511214677244,0.00023863789101596922,0.00023863786191213876
51,0.0001936152984853834,0.0001936152984853834,0.0002432156034046784,0.0002432156034046784
52,0.00017561890126671642,0.00017561890126671642,0.00020173558732494712,0.0002017355727730319
53,0.00015520557644777,0.00015520556189585477,0.00017106176528614014,0.00017106176528614014
54,0.00015451064973603934,0.0001545106351841241,0.0001436676539015025,0.0001436676539015025
55,0.00016267088358290493,0.00016267089813482016,0.00015171081759035587,0.00015171081759035587
56,0.00013097554619889706,0.00013097554619889706,0.00013792593381367624,0.000137925919261761
57,0.00013102011871524155,0.00013102011871524155,0.00013266855967231095,0.00013266855967231095
58,0.00012356795195955783,0.00012356795195955783,0.00011624542821664363,0.00011624542094068602
59,0.0001264851598534733,0.0001264851598534733,0.00013062084326520562,0.00013062085781712085
60,0.00014683186600450426,0.0001468318805564195,0.00021847257448825985,0.00021847253083251417
61,0.00013987012789584696,0.0001398701424477622,0.00017741967167239636,0.00017741967167239636
62,0.00012861203867942095,0.00012861202412750572,0.00012326806609053165,0.00012326806609053165
63,0.00013550037692766637,0.00013550037692766637,0.0001739027356961742,0.00017390275024808943
64,0.00010692042269511148,0.00010692042269511148,0.00010460611520102248,0.00010460611520102248
65,0.00010847409430425614,0.00010847409430425614,0.00011456498032202944,0.00011456497304607183
66,0.00012276154302526265,0.00012276154302526265,0.00014999201812315732,0.00014999201812315732
67,0.00010220062540611252,0.00010220062540611252,0.0001050425780704245,0.00010504258534638211
68,8.546623575966805e-05,8.546624303562567e-05,8.21013527456671e-05,8.210134546970949e-05
69,7.344885671045631e-05,7.344885671045631e-05,7.014989387243986e-05,7.014989387243986e-05
70,8.218056609621271e-05,8.21805588202551e-05,0.00010021456546382979,0.00010021456546382979
