epoch,loss,mse,val_loss,val_mse
0,0.5835590958595276,0.5835590958595276,0.011832179501652718,0.011832179501652718
1,0.007766894530504942,0.007766894530504942,0.006968006491661072,0.006968006491661072
2,0.0054260194301605225,0.005426018964499235,0.0049844891764223576,0.0049844891764223576
3,0.004265721887350082,0.004265721887350082,0.004194287117570639,0.004194287117570639
4,0.003508741268888116,0.003508741268888116,0.003551336470991373,0.003551336470991373
5,0.0029494990594685078,0.0029494985938072205,0.0029991427436470985,0.0029991427436470985
6,0.0025079825427383184,0.002507982309907675,0.002642684383317828,0.0026426841504871845
7,0.002170463791117072,0.002170463791117072,0.0024029850028455257,0.0024029850028455257
8,0.001908067730255425,0.001908067730255425,0.0022083919029682875,0.0022083919029682875
9,0.0017111690249294043,0.0017111690249294043,0.002005727030336857,0.002005727030336857
10,0.001562636811286211,0.0015626369277015328,0.0018486111657693982,0.0018486111657693982
11,0.001436850754544139,0.001436850638128817,0.0016503484221175313,0.0016503485385328531
12,0.0013393822591751814,0.0013393822591751814,0.001445863046683371,0.0014458632795140147
13,0.0012655887985602021,0.001265588914975524,0.0013297739205881953,0.0013297739205881953
14,0.0012010651407763362,0.0012010651407763362,0.0012790680630132556,0.0012790682958438993
15,0.0011120311683043838,0.001112031051889062,0.0012215948663651943,0.0012215949827805161
16,0.001021037925966084,0.0010210378095507622,0.0011622195597738028,0.001162219443358481
17,0.0009299169178120792,0.0009299169760197401,0.0010569741716608405,0.0010569741716608405
18,0.0008750570705160499,0.0008750570705160499,0.0009834906086325645,0.0009834906086325645
19,0.0008441994432359934,0.0008441994432359934,0.0009415758540853858,0.0009415758540853858
20,0.0007950171129778028,0.0007950171129778028,0.0008630862575955689,0.0008630863158032298
21,0.0007449666154570878,0.0007449666154570878,0.0008132252842187881,0.0008132252842187881
22,0.0006866739713586867,0.0006866739713586867,0.0007877153693698347,0.0007877153693698347
23,0.0006222301162779331,0.0006222301162779331,0.0007306736661121249,0.0007306737825274467
24,0.0006208362174220383,0.0006208361592143774,0.0006842287257313728,0.0006842287839390337
25,0.0006891192751936615,0.0006891192751936615,0.0006939911982044578,0.0006939911982044578
26,0.0006605229573324323,0.0006605229573324323,0.0008010520250536501,0.0008010520250536501
27,0.0005699969478882849,0.0005699969478882849,0.0005930642364546657,0.0005930642364546657
28,0.0004980142693966627,0.0004980142693966627,0.0005709085962735116,0.0005709085962735116
29,0.0004938456695526838,0.0004938456113450229,0.0006227898993529379,0.0006227898993529379
30,0.0005002872785553336,0.0005002872203476727,0.000587473448831588,0.000587473448831588
31,0.0004526252159848809,0.0004526252159848809,0.0005394531763158739,0.0005394532927311957
32,0.0004231901257298887,0.00042319006752222776,0.00044197801616974175,0.00044197795796208084
33,0.00044981230166740716,0.0004498123307712376,0.0005152165540494025,0.0005152165540494025
34,0.00042361480882391334,0.0004236147506162524,0.0005190607043914497,0.0005190607043914497
35,0.00048351354780606925,0.0004835135769098997,0.0005742358625866473,0.0005742358625866473
36,0.0004056790203321725,0.00040567904943600297,0.00041631574276834726,0.00041631574276834726
37,0.00035458890488371253,0.0003545888757798821,0.0003999620385002345,0.0003999620385002345
38,0.0003620198694989085,0.00036201984039507806,0.00041952828178182244,0.00041952828178182244
39,0.0003332361811771989,0.0003332361811771989,0.0003288534644525498,0.0003288534644525498
40,0.000296283804345876,0.0002962837752420455,0.000357430602889508,0.000357430602889508
41,0.00036627432564273477,0.00036627432564273477,0.00048816652270033956,0.00048816652270033956
42,0.00040527567034587264,0.0004052756412420422,0.000437314563896507,0.000437314563896507
43,0.00028873697738163173,0.00028873697738163173,0.00027571278042159975,0.00027571278042159975
44,0.0003341928240843117,0.0003341928240843117,0.0005151796503923833,0.0005151795921847224
45,0.0003107404336333275,0.0003107404336333275,0.0004000687913503498,0.0004000687913503498
46,0.00026402415824122727,0.00026402415824122727,0.0002560472348704934,0.0002560471766628325
47,0.00018832932983059436,0.00018832932983059436,0.00017789505363907665,0.00017789503908716142
48,0.00015695553156547248,0.00015695553156547248,0.00020001540542580187,0.0002000154199777171
49,0.0001644427829887718,0.0001644427829887718,0.00021465042664203793,0.00021465042664203793
50,0.0001990161108551547,0.00019901612540706992,0.00021732390450779349,0.00021732390450779349
51,0.000187299054232426,0.00018729906878434122,0.00019837259605992585,0.00019837259605992585
52,0.00017905037384480238,0.00017905037384480238,0.00020836642943322659,0.00020836642943322659
